 시점 , 자치구 , 발생량 , 재활용 , 재활용-음식물 외 , 재활용-음식물 , 소각 , 매립 , 기타 , 재활용율(음식외) , 재활용율(음식) , 소각율 , 매립율 , 기타율 
" 2,019 ", 노원구 , 317 , 207 , 82 , 125 , 105 , 4 , 1 ,26%,39%,33%,1%,0%
" 2,019 ", 은평구 , 369 , 225 , 151 , 74 , 49 , 95 , 0 ,41%,20%,13%,26%,0%
" 2,019 ", 서대문구 , 240 , 147 , 77 , 70 , 64 , 29 , 1 ,32%,29%,27%,12%,0%
" 2,019 ", 마포구 , 478 , 286 , 163 , 123 , 147 , 44 , 0 ,34%,26%,31%,9%,0%
" 2,019 ", 양천구 , 341 , 222 , 104 , 118 , 101 , 18 , - ,31%,34%,30%,5%,0%
" 2,019 ", 강서구 , 599 , 446 , 286 , 160 , 116 , 36 , 2 ,48%,27%,19%,6%,0%
" 2,019 ", 구로구 , 327 , 171 , 74 , 97 , 125 , 31 , 0 ,23%,30%,38%,9%,0%
" 2,019 ", 금천구 , 287 , 198 , 136 , 63 , 0 , 89 , - ,47%,22%,0%,31%,0%
" 2,019 ", 영등포구 , 417 , 266 , 111 , 155 , 100 , 48 , 4 ,27%,37%,24%,11%,1%
" 2,019 ", 동작구 , 315 , 225 , 132 , 93 , 67 , 23 , - ,42%,29%,21%,7%,0%
" 2,019 ", 관악구 , 435 , 313 , 222 , 91 , 38 , 84 , 0 ,51%,21%,9%,19%,0%
" 2,019 ", 서초구 , 498 , 293 , 114 , 179 , 129 , 75 , 0 ,23%,36%,26%,15%,0%
" 2,019 ", 강남구 , 591 , 348 , 225 , 123 , 197 , 44 , 2 ,38%,21%,33%,7%,0%
" 2,019 ", 송파구 , 808 , 605 , 190 , 415 , 115 , 85 , 4 ,24%,51%,14%,10%,0%
" 2,019 ", 강동구 , 420 , 283 , 166 , 118 , 75 , 41 , 21 ,39%,28%,18%,10%,5%
" 2,020 ", 서울특별시 ," 9,673 "," 6,408 "," 3,869 "," 2,540 "," 2,289 ", 949 , 28 ,40%,26%,24%,10%,0%
" 2,020 ", 종로구 , 264 , 154 , 77 , 76 , 83 , 26 , 1 ,29%,29%,32%,10%,1%
" 2,020 ", 중구 , 358 , 198 , 118 , 80 , 128 , 31 , - ,33%,22%,36%,9%,0%
" 2,020 ", 용산구 , 301 , 197 , 134 , 64 , 78 , 26 , 0 ,44%,21%,26%,9%,0%
" 2,020 ", 성동구 , 301 , 202 , 124 , 78 , 62 , 27 , 10 ,41%,26%,21%,9%,3%
" 2,020 ", 광진구 , 343 , 239 , 152 , 87 , 83 , 21 , - ,44%,25%,24%,6%,0%
" 2,020 ", 동대문구 , 440 , 331 , 240 , 91 , 87 , 23 , - ,55%,21%,20%,5%,0%
" 2,020 ", 중랑구 , 338 , 227 , 140 , 87 , 93 , 19 , - ,41%,26%,27%,5%,0%
" 2,020 ", 성북구 , 362 , 246 , 159 , 87 , 101 , 14 , 0 ,44%,24%,28%,4%,0%
" 2,020 ", 강북구 , 243 , 146 , 77 , 69 , 89 , 8 , - ,32%,28%,37%,3%,0%
" 2,020 ", 도봉구 , 301 , 199 , 126 , 73 , 95 , 7 , 0 ,42%,24%,31%,2%,0%
" 2,020 ", 노원구 , 395 , 280 , 163 , 118 , 107 , 5 , 2 ,41%,30%,27%,1%,1%
" 2,020 ", 은평구 , 380 , 223 , 143 , 80 , 53 , 105 , 0 ,38%,21%,14%,27%,0%
" 2,020 ", 서대문구 , 285 , 176 , 112 , 63 , 79 , 31 , - ,39%,22%,28%,11%,0%
" 2,020 ", 마포구 , 366 , 218 , 134 , 85 , 114 , 34 , - ,37%,23%,31%,9%,0%
" 2,020 ", 양천구 , 394 , 286 , 197 , 89 , 90 , 18 , - ,50%,23%,23%,5%,0%
" 2,020 ", 강서구 , 527 , 366 , 222 , 144 , 104 , 56 , 1 ,42%,27%,20%,11%,0%
" 2,020 ", 구로구 , 330 , 173 , 91 , 82 , 109 , 48 , - ,27%,25%,33%,15%,0%
" 2,020 ", 금천구 , 275 , 189 , 134 , 55 , 16 , 68 , 2 ,49%,20%,6%,25%,1%
" 2,020 ", 영등포구 , 449 , 297 , 161 , 136 , 122 , 27 , 4 ,36%,30%,27%,6%,1%
" 2,020 ", 동작구 , 325 , 237 , 152 , 85 , 66 , 19 , 2 ,47%,26%,20%,6%,1%
" 2,020 ", 관악구 , 402 , 283 , 189 , 94 , 31 , 88 , - ,47%,23%,8%,22%,0%
" 2,020 ", 서초구 , 505 , 298 , 143 , 156 , 127 , 79 , - ,28%,31%,25%,16%,0%
" 2,020 ", 강남구 , 695 , 456 , 213 , 242 , 203 , 35 , 1 ,31%,35%,29%,5%,0%
" 2,020 ", 송파구 , 728 , 541 , 333 , 209 , 97 , 88 , 1 ,46%,29%,13%,12%,0%
" 2,020 ", 강동구 , 368 , 248 , 138 , 110 , 74 , 46 , 0 ,37%,30%,20%,12%,0%
" 2,021 ", 서울특별시 ," 10,853 "," 6,085 "," 3,628 "," 2,457 "," 2,275 "," 1,485 "," 1,009 ",33%,23%,21%,14%,9%
" 2,021 ", 종로구 , 230 , 124 , 55 , 69 , 83 , 21 , 1 ,24%,30%,36%,9%,1%
" 2,021 ", 중구 , 298 , 137 , 59 , 79 , 134 , 26 , 1 ,20%,26%,45%,9%,0%
" 2,021 ", 용산구 , 294 , 187 , 125 , 62 , 81 , 25 , 1 ,43%,21%,28%,9%,0%
" 2,021 ", 성동구 , 272 , 187 , 110 , 77 , 56 , 29 , 0 ,41%,28%,21%,10%,0%
" 2,021 ", 광진구 , 251 , 172 , 89 , 83 , 50 , 29 , - ,36%,33%,20%,11%,0%
" 2,021 ", 동대문구 , 320 , 207 , 114 , 93 , 87 , 26 , 0 ,36%,29%,27%,8%,0%
" 2,021 ", 중랑구 , 288 , 176 , 92 , 84 , 92 , 21 , 0 ,32%,29%,32%,7%,0%
" 2,021 ", 성북구 , 373 , 276 , 189 , 87 , 85 , 10 , 2 ,51%,23%,23%,3%,0%
" 2,021 ", 강북구 , 259 , 175 , 111 , 64 , 70 , 7 , 7 ,43%,25%,27%,3%,3%
" 2,021 ", 도봉구 , 252 , 147 , 74 , 72 , 97 , 9 , 0 ,30%,29%,38%,3%,0%
" 2,021 ", 노원구 , 372 , 262 , 146 , 116 , 100 , 11 , 0 ,39%,31%,27%,3%,0%
" 2,021 ", 은평구 , 379 , 229 , 151 , 78 , 39 , 111 , 0 ,40%,21%,10%,29%,0%
" 2,021 ", 서대문구 , 265 , 158 , 97 , 61 , 83 , 23 , 0 ,37%,23%,31%,9%,0%
" 2,021 ", 마포구 , 545 , 218 , 140 , 78 , 113 , 28 , 186 ,26%,14%,21%,5%,34%
" 2,021 ", 양천구 , 353 , 237 , 149 , 88 , 82 , 30 , 4 ,42%,25%,23%,8%,1%
" 2,021 ", 강서구 ," 2,060 ", 583 , 453 , 130 , 107 , 630 , 740 ,22%,6%,5%,31%,36%
" 2,021 ", 구로구 , 373 , 211 , 129 , 82 , 111 , 51 , 1 ,35%,22%,30%,14%,0%
" 2,021 ", 금천구 , 270 , 171 , 115 , 56 , 32 , 66 , 1 ,43%,21%,12%,24%,1%
" 2,021 ", 영등포구 , 442 , 307 , 176 , 132 , 89 , 39 , 6 ,40%,30%,20%,9%,1%
" 2,021 ", 동작구 , 297 , 197 , 117 , 81 , 69 , 31 , 1 ,39%,27%,23%,10%,0%
" 2,021 ", 관악구 , 400 , 241 , 149 , 92 , 111 , 49 , - ,37%,23%,28%,12%,0%
" 2,021 ", 서초구 , 485 , 298 , 151 , 147 , 135 , 50 , 2 ,31%,30%,28%,10%,0%
" 2,021 ", 강남구 , 680 , 443 , 211 , 232 , 200 , 36 , 0 ,31%,34%,29%,5%,0%
" 2,021 ", 송파구 , 694 , 475 , 275 , 200 , 112 , 86 , 21 ,40%,29%,16%,12%,3%
" 2,021 ", 강동구 , 402 , 268 , 152 , 116 , 57 , 44 , 33 ,38%,29%,14%,11%,8%
" 2,022 ", 서울특별시 ," 10,914 "," 6,836 "," 4,354 "," 2,483 "," 2,265 ", 899 , 914 ,40%,23%,21%,8%,8%
" 2,022 ", 종로구 , 286 , 170 , 92 , 78 , 97 , 18 , 1 ,32%,27%,34%,6%,0%
" 2,022 ", 중구 , 325 , 182 , 87 , 95 , 119 , 23 , 1 ,27%,29%,37%,7%,0%
" 2,022 ", 용산구 , 593 , 489 , 421 , 68 , 85 , 18 , 1 ,71%,12%,14%,3%,0%
" 2,022 ", 성동구 , 287 , 183 , 106 , 77 , 62 , 42 , 1 ,37%,27%,21%,14%,0%
" 2,022 ", 광진구 , 331 , 261 , 178 , 83 , 45 , 24 , 1 ,54%,25%,14%,7%,0%
" 2,022 ", 동대문구 , 296 , 187 , 102 , 85 , 82 , 26 , 1 ,34%,29%,28%,9%,0%
" 2,022 ", 중랑구 , 286 , 174 , 90 , 84 , 91 , 19 , 3 ,32%,29%,32%,7%,1%
" 2,022 ", 성북구 , 345 , 233 , 142 , 92 , 82 , 8 , 22 ,41%,27%,24%,2%,6%
" 2,022 ", 강북구 , 246 , 168 , 105 , 63 , 68 , 6 , 4 ,43%,26%,28%,2%,1%
" 2,022 ", 도봉구 , 258 , 192 , 121 , 72 , 55 , 7 , 4 ,47%,28%,21%,3%,2%
" 2,022 ", 노원구 , 399 , 293 , 177 , 116 , 97 , 10 , 0 ,44%,29%,24%,2%,0%
" 2,022 ", 은평구 , 353 , 199 , 123 , 76 , 46 , 107 , 2 ,35%,21%,13%,30%,1%
" 2,022 ", 서대문구 , 295 , 184 , 123 , 61 , 80 , 23 , 8 ,42%,21%,27%,8%,3%
" 2,022 ", 마포구 , 418 , 242 , 160 , 81 , 116 , 27 , 33 ,38%,19%,28%,7%,8%
" 2,022 ", 양천구 , 339 , 221 , 131 , 90 , 93 , 17 , 8 ,39%,26%,27%,5%,2%
" 2,022 ", 강서구 ," 1,605 ", 751 , 625 , 127 , 126 , 61 , 667 ,39%,8%,8%,4%,42%
" 2,022 ", 구로구 , 367 , 220 , 141 , 79 , 104 , 44 , 1 ,38%,21%,28%,12%,0%
" 2,022 ", 금천구 , 274 , 179 , 124 , 55 , 31 , 63 , 1 ,45%,20%,11%,23%,0%
" 2,022 ", 영등포구 , 458 , 310 , 178 , 132 , 109 , 36 , 4 ,39%,29%,24%,8%,1%
" 2,022 ", 동작구 , 323 , 211 , 130 , 81 , 73 , 37 , 2 ,40%,25%,23%,12%,0%
" 2,022 ", 관악구 , 443 , 300 , 208 , 92 , 88 , 55 , - ,47%,21%,20%,12%,0%
" 2,022 ", 서초구 , 494 , 310 , 166 , 143 , 131 , 48 , 5 ,34%,29%,27%,10%,1%
" 2,022 ", 강남구 , 721 , 447 , 201 , 247 , 222 , 45 , 7 ,28%,34%,31%,6%,1%
" 2,022 ", 송파구 , 827 , 485 , 289 , 197 , 109 , 92 , 141 ,35%,24%,13%,11%,17%
" 2,022 ", 강동구 , 346 , 247 , 136 , 111 , 54 , 45 , 0 ,39%,32%,16%,13%,0%
